pal1,pal2,palres
Blazamut,Blazamut,Blazamut
Blazamut,Suzaku Aqua,Blazamut
Blazamut,Suzaku,Suzaku Aqua
Blazamut,Shadowbeak,Suzaku Aqua
Blazamut,Necromus,Suzaku Aqua
Blazamut,Paladius,Suzaku
Blazamut,Jetragon,Suzaku
Blazamut,Frostallion Noct,Suzaku
Blazamut,Frostallion,Shadowbeak
Blazamut,Cryolinx,Necromus
Blazamut,Orserk,Necromus
Blazamut,Astegon,Paladius
Blazamut,Helzephyr,Frostallion Noct
Blazamut,Grizzbolt,Frostallion Noct
Blazamut,Lyleen Noct,Frostallion Noct
Blazamut,Beakon,Frostallion
Blazamut,Reptyro Cryst,Frostallion
Blazamut,Pyrin Noct,Frostallion
Blazamut,Lyleen,Cryolinx
Blazamut,Menasting,Cryolinx
Blazamut,Relaxaurus Lux,Orserk
Blazamut,Relaxaurus,Orserk
Blazamut,Mammorest Cryst,Astegon
Blazamut,Mammorest,Astegon
Blazamut,Jormuntide,Astegon
Blazamut,Jormuntide Ignis,Astegon
Blazamut,Reptyro,Astegon
Blazamut,Elizabee,Astegon
Blazamut,Warsect,Helzephyr
Blazamut,Quivern,Helzephyr
Blazamut,Pyrin,Helzephyr
Blazamut,Faleris,Helzephyr
Blazamut,Ragnahawk,Helzephyr
Blazamut,Mossanda Lux,Grizzbolt
Blazamut,Sweepa,Lyleen Noct
Blazamut,Nitewing,Lyleen Noct
Blazamut,Mossanda,Beakon
Blazamut,Ice Kingpaca,Beakon
Blazamut,Sibelyx,Reptyro Cryst
Blazamut,Wumpo,Reptyro Cryst
Blazamut,Kingpaca,Pyrin Noct
Blazamut,Wumpo Botan,Pyrin Noct
Blazamut,Cinnamoth,Lyleen
Blazamut,Azurobe,Lyleen
Blazamut,Grintale,Menasting
Blazamut,Penking,Menasting
Blazamut,Elphidran Aqua,Relaxaurus Lux
Blazamut,Elphidran,Relaxaurus Lux
Blazamut,Surfent Terra,Relaxaurus
Blazamut,Surfent,Relaxaurus
Blazamut,Anubis,Mammorest Cryst
Blazamut,Incineram Noct,Mammorest Cryst
Blazamut,Incineram,Mammorest
Blazamut,Vanwyrm Cryst,Jormuntide Ignis
Blazamut,Bushi,Reptyro
Blazamut,Vanwyrm,Elizabee
Blazamut,Blazehowl Noct,Warsect
Blazamut,Univolt,Warsect
Blazamut,Katress,Quivern
Blazamut,Blazehowl,Pyrin
Blazamut,Rayhound,Faleris
Blazamut,Tombat,Ragnahawk
Blazamut,Foxcicle,Ragnahawk
Blazamut,Petallia,Mossanda Lux
Blazamut,Arsox,Mossanda Lux
Blazamut,Chillet,Sweepa
Blazamut,Dinossom Lux,Sweepa
Blazamut,Dinossom,Sweepa
Blazamut,Kitsun,Nitewing
Blazamut,Broncherry Aqua,Nitewing
Blazamut,Digtoise,Mossanda
Blazamut,Broncherry,Mossanda
Blazamut,Celaray,Ice Kingpaca
Blazamut,Reindrix,Ice Kingpaca
Blazamut,Melpaca,Sibelyx
Blazamut,Dumud,Sibelyx
Blazamut,Eikthyrdeer Terra,Sibelyx
Blazamut,Mozzarina,Wumpo
Blazamut,Eikthyrdeer,Wumpo
Blazamut,Caprity,Kingpaca
Blazamut,Lovander,Kingpaca
Blazamut,Loupmoon,Wumpo Botan
Blazamut,Fenglope,Cinnamoth
Blazamut,Verdash,Azurobe
Blazamut,Robinquill Terra,Azurobe
Blazamut,Felbat,Grintale
Blazamut,Robinquill,Grintale
Blazamut,Galeclaw,Penking
Blazamut,Gorirat,Penking
Blazamut,Vaelet,Elphidran Aqua
Blazamut,Direhowl,Elphidran Aqua
Blazamut,Beegarde,Elphidran
Blazamut,Cawgnito,Elphidran
Blazamut,Gobfin,Surfent Terra
Blazamut,Gobfin Ignis,Surfent Terra
Blazamut,Lunaris,Surfent
Blazamut,Leezpunk,Surfent
Blazamut,Rushoar,Anubis
Blazamut,Leezpunk Ignis,Anubis
Blazamut,Maraith,Incineram Noct
Blazamut,Rooby,Incineram Noct
Blazamut,Wixen,Incineram Noct
Blazamut,Nox,Incineram
Blazamut,Woolipop,Incineram
Blazamut,Dazzi,Vanwyrm Cryst
Blazamut,Fuddler,Vanwyrm Cryst
Blazamut,Daedream,Vanwyrm Cryst
Blazamut,Gumoss (Special),Vanwyrm Cryst
Blazamut,Gumoss,Vanwyrm Cryst
Blazamut,Tanzee,Vanwyrm Cryst
Blazamut,Kelpsea,Bushi
Blazamut,Kelpsea Ignis,Bushi
Blazamut,Flopie,Bushi
Blazamut,Killamari,Bushi
Blazamut,Swee,Vanwyrm
Blazamut,Ribunny,Vanwyrm
Blazamut,Bristla,Vanwyrm
Blazamut,Fuack,Blazehowl Noct
Blazamut,Tocotoco,Blazehowl Noct
Blazamut,Pengullet,Univolt
Blazamut,Jolthog Cryst,Univolt
Blazamut,Jolthog,Univolt
Blazamut,Depresso,Katress
Blazamut,Hoocrates,Katress
Blazamut,Foxparks,Katress
Blazamut,Flambelle,Blazehowl
Blazamut,Sparkit,Blazehowl
Blazamut,Hangyu,Blazehowl
Blazamut,Hangyu Cryst,Blazehowl
Blazamut,Lifmunk,Blazehowl
Blazamut,Mau Cryst,Blazehowl
Blazamut,Vixy,Rayhound
Blazamut,Cremis,Rayhound
Blazamut,Cattiva,Rayhound
Blazamut,Lamball,Rayhound
Blazamut,Mau,Rayhound
Blazamut,Teafant,Tombat
Blazamut,Chikipi,Tombat
Suzaku Aqua,Blazamut,Blazamut
Suzaku Aqua,Suzaku Aqua,Suzaku Aqua
Suzaku Aqua,Suzaku,Suzaku Aqua
Suzaku Aqua,Shadowbeak,Suzaku
Suzaku Aqua,Necromus,Suzaku
Suzaku Aqua,Paladius,Suzaku
Suzaku Aqua,Jetragon,Shadowbeak
Suzaku Aqua,Frostallion Noct,Shadowbeak
Suzaku Aqua,Frostallion,Necromus
Suzaku Aqua,Cryolinx,Paladius
Suzaku Aqua,Orserk,Paladius
Suzaku Aqua,Astegon,Jetragon
Suzaku Aqua,Helzephyr,Frostallion Noct
Suzaku Aqua,Grizzbolt,Frostallion
Suzaku Aqua,Lyleen Noct,Frostallion
Suzaku Aqua,Beakon,Frostallion
Suzaku Aqua,Reptyro Cryst,Cryolinx
Suzaku Aqua,Pyrin Noct,Cryolinx
Suzaku Aqua,Lyleen,Orserk
Suzaku Aqua,Menasting,Orserk
Suzaku Aqua,Relaxaurus Lux,Astegon
Suzaku Aqua,Relaxaurus,Astegon
Suzaku Aqua,Mammorest Cryst,Astegon
Suzaku Aqua,Mammorest,Astegon
Suzaku Aqua,Jormuntide,Astegon
Suzaku Aqua,Jormuntide Ignis,Helzephyr
Suzaku Aqua,Reptyro,Helzephyr
Suzaku Aqua,Elizabee,Helzephyr
Suzaku Aqua,Warsect,Helzephyr
Suzaku Aqua,Quivern,Helzephyr
Suzaku Aqua,Pyrin,Helzephyr
Suzaku Aqua,Faleris,Grizzbolt
Suzaku Aqua,Ragnahawk,Grizzbolt
Suzaku Aqua,Mossanda Lux,Lyleen Noct
Suzaku Aqua,Sweepa,Beakon
Suzaku Aqua,Nitewing,Beakon
Suzaku Aqua,Mossanda,Reptyro Cryst
Suzaku Aqua,Ice Kingpaca,Reptyro Cryst
Suzaku Aqua,Sibelyx,Pyrin Noct
Suzaku Aqua,Wumpo,Pyrin Noct
Suzaku Aqua,Kingpaca,Lyleen
Suzaku Aqua,Wumpo Botan,Lyleen
Suzaku Aqua,Cinnamoth,Menasting
Suzaku Aqua,Azurobe,Menasting
Suzaku Aqua,Grintale,Relaxaurus Lux
Suzaku Aqua,Penking,Relaxaurus Lux
Suzaku Aqua,Elphidran Aqua,Relaxaurus
Suzaku Aqua,Elphidran,Relaxaurus
Suzaku Aqua,Surfent Terra,Mammorest Cryst
Suzaku Aqua,Surfent,Mammorest Cryst
Suzaku Aqua,Anubis,Mammorest
Suzaku Aqua,Incineram Noct,Mammorest
Suzaku Aqua,Incineram,Jormuntide
Suzaku Aqua,Vanwyrm Cryst,Reptyro
Suzaku Aqua,Bushi,Elizabee
Suzaku Aqua,Vanwyrm,Warsect
Suzaku Aqua,Blazehowl Noct,Quivern
Suzaku Aqua,Univolt,Quivern
Suzaku Aqua,Katress,Pyrin
Suzaku Aqua,Blazehowl,Faleris
Suzaku Aqua,Rayhound,Ragnahawk
Suzaku Aqua,Tombat,Mossanda Lux
Suzaku Aqua,Foxcicle,Mossanda Lux
Suzaku Aqua,Petallia,Sweepa
Suzaku Aqua,Arsox,Sweepa
Suzaku Aqua,Chillet,Sweepa
Suzaku Aqua,Dinossom Lux,Nitewing
Suzaku Aqua,Dinossom,Nitewing
Suzaku Aqua,Kitsun,Mossanda
Suzaku Aqua,Broncherry Aqua,Mossanda
Suzaku Aqua,Digtoise,Ice Kingpaca
Suzaku Aqua,Broncherry,Ice Kingpaca
Suzaku Aqua,Celaray,Sibelyx
Suzaku Aqua,Reindrix,Sibelyx
Suzaku Aqua,Melpaca,Wumpo
Suzaku Aqua,Dumud,Wumpo
Suzaku Aqua,Eikthyrdeer Terra,Wumpo
Suzaku Aqua,Mozzarina,Kingpaca
Suzaku Aqua,Eikthyrdeer,Kingpaca
Suzaku Aqua,Caprity,Wumpo Botan
Suzaku Aqua,Lovander,Wumpo Botan
Suzaku Aqua,Loupmoon,Cinnamoth
Suzaku Aqua,Fenglope,Azurobe
Suzaku Aqua,Verdash,Grintale
Suzaku Aqua,Robinquill Terra,Grintale
Suzaku Aqua,Felbat,Penking
Suzaku Aqua,Robinquill,Penking
Suzaku Aqua,Galeclaw,Elphidran Aqua
Suzaku Aqua,Gorirat,Elphidran Aqua
Suzaku Aqua,Vaelet,Elphidran
