pal1,pal2,palres
Chikipi,Chikipi,Chikipi
Chikipi,Teafant,Chikipi
Chikipi,Mau,Teafant
Chikipi,Lamball,Teafant
Chikipi,Cattiva,Mau
Chikipi,Cremis,Mau
Chikipi,Vixy,Mau
Chikipi,Mau Cryst,Lamball
Chikipi,Lifmunk,Lamball
Chikipi,Hangyu Cryst,Cattiva
Chikipi,Hangyu,Cattiva
Chikipi,Sparkit,Cremis
Chikipi,Flambelle,Cremis
Chikipi,Foxparks,Vixy
Chikipi,Hoocrates,Vixy
Chikipi,Depresso,Mau Cryst
Chikipi,Jolthog,Mau Cryst
Chikipi,Jolthog Cryst,Lifmunk
Chikipi,Pengullet,Hangyu Cryst
Chikipi,Tocotoco,Hangyu
Chikipi,Fuack,Hangyu
Chikipi,Bristla,Sparkit
Chikipi,Ribunny,Flambelle
Chikipi,Swee,Foxparks
Chikipi,Killamari,Foxparks
Chikipi,Flopie,Hoocrates
Chikipi,Kelpsea Ignis,Hoocrates
Chikipi,Kelpsea,Depresso
Chikipi,Tanzee,Depresso
Chikipi,Gumoss (Special),Jolthog
Chikipi,Gumoss,Jolthog
Chikipi,Daedream,Jolthog
Chikipi,Fuddler,Jolthog Cryst
Chikipi,Dazzi,Jolthog Cryst
Chikipi,Woolipop,Pengullet
Chikipi,Nox,Tocotoco
Chikipi,Wixen,Fuack
Chikipi,Rooby,Fuack
Chikipi,Maraith,Fuack
Chikipi,Leezpunk Ignis,Bristla
Chikipi,Rushoar,Bristla
Chikipi,Leezpunk,Ribunny
Chikipi,Lunaris,Ribunny
Chikipi,Gobfin Ignis,Swee
Chikipi,Gobfin,Swee
Chikipi,Cawgnito,Killamari
Chikipi,Beegarde,Killamari
Chikipi,Direhowl,Flopie
Chikipi,Vaelet,Flopie
Chikipi,Gorirat,Kelpsea Ignis
Chikipi,Galeclaw,Kelpsea Ignis
Chikipi,Robinquill,Kelpsea
Chikipi,Felbat,Kelpsea
Chikipi,Robinquill Terra,Tanzee
Chikipi,Verdash,Tanzee
Chikipi,Fenglope,Gumoss (Special)
Chikipi,Loupmoon,Daedream
Chikipi,Lovander,Fuddler
Chikipi,Caprity,Fuddler
Chikipi,Eikthyrdeer,Dazzi
Chikipi,Mozzarina,Dazzi
Chikipi,Eikthyrdeer Terra,Dazzi
Chikipi,Dumud,Woolipop
Chikipi,Melpaca,Woolipop
Chikipi,Reindrix,Woolipop
Chikipi,Celaray,Woolipop
Chikipi,Broncherry,Nox
Chikipi,Digtoise,Nox
Chikipi,Broncherry Aqua,Nox
Chikipi,Kitsun,Wixen
Chikipi,Dinossom,Wixen
Chikipi,Dinossom Lux,Rooby
Chikipi,Chillet,Maraith
Chikipi,Arsox,Maraith
Chikipi,Petallia,Leezpunk Ignis
Chikipi,Foxcicle,Rushoar
Chikipi,Tombat,Rushoar
Chikipi,Rayhound,Leezpunk
Chikipi,Blazehowl,Lunaris
Chikipi,Katress,Gobfin Ignis
Chikipi,Univolt,Gobfin
Chikipi,Blazehowl Noct,Gobfin
Chikipi,Vanwyrm,Cawgnito
Chikipi,Bushi,Beegarde
Chikipi,Vanwyrm Cryst,Direhowl
